feature,score
60,303
timeInterval_first,198
45,137
149,128
174,113
74,112
92,107
36,106
250,103
102,94
1,93
180,92
146,90
195,89
68,89
39,84
156,82
245,81
172,81
75,80
155,79
175,78
96,77
33,73
249,73
46,72
94,71
124,71
41,71
103,69
97,68
65,68
35,66
40,65
244,64
242,64
148,61
177,61
181,61
98,60
290,58
246,58
62,58
152,58
93,56
69,56
228,56
221,56
264,55
117,55
120,54
223,54
173,52
121,51
271,50
95,50
190,49
178,49
176,48
266,47
151,47
123,46
63,46
isHistory_0,46
305,46
170,45
205,45
67,45
287,45
99,44
126,44
247,43
198,42
310,42
150,42
324,41
251,41
270,40
104,39
91,39
375,39
nearestTime8,39
nearestTime4,39
291,38
nearestInterval_var8,38
37,38
227,37
130,36
nearestDistance6,36
nearestInterval_min4,36
259,36
32,35
76,35
66,35
285,35
328,34
128,34
100,33
153,33
275,32
timeInterval_mean,32
64,32
192,31
nearestInterval_mean4,31
201,31
268,31
199,30
197,30
107,30
type_first1,30
119,30
307,30
272,29
129,29
361,29
269,29
257,28
219,28
288,28
225,28
222,28
167,27
193,27
274,27
309,27
159,27
122,26
131,26
184,26
125,26
417,26
nearestTime2,26
254,26
112,26
154,26
448,25
147,25
182,25
204,25
70,25
163,25
255,25
261,25
action5_rate,25
105,24
253,24
382,24
383,24
nearestTime3,24
89,24
133,23
379,23
378,23
374,23
71,23
380,23
nearestDistance8,23
114,23
106,22
231,22
377,22
450,22
185,22
202,22
72,22
414,22
363,22
267,22
216,22
342,21
108,21
186,21
nearestInterval_mean8,21
366,21
160,21
116,21
nearestDistance2,21
345,20
443,20
101,20
332,20
248,20
362,20
nearestInterval_var2,20
115,20
229,20
158,20
134,19
84,19
454,19
nearestInterval_mean3,19
73,19
78,19
161,19
162,19
445,18
38,18
81,18
314,18
165,18
nearestInterval_min8,18
226,18
31,17
232,17
144,17
action1_rate,17
372,17
83,17
459,17
179,17
188,17
127,17
467,17
isOrder_0,17
nearestDistance4,17
303,17
nearestInterval_min3,17
295,16
494,16
86,16
87,16
364,16
381,16
nearestInterval_max2,16
isHistory_1,16
289,16
isOrder_2,16
429,16
488,16
141,15
465,15
463,15
256,15
nearestDistance7,15
157,15
43,15
nearestInterval_max8,14
timeInterval_var,14
137,14
80,14
329,14
412,14
nearestDistance3,14
313,14
nearestInterval_var4,14
387,14
357,14
284,14
61,14
489,14
478,14
347,13
191,13
34,13
235,13
233,13
85,13
nearestInterval_mean2,13
323,13
321,13
208,13
252,13
281,13
282,13
260,13
nearestDistance9,13
482,13
341,12
action6_rate,12
294,12
279,12
nearestInterval_var7,12
142,12
401,12
390,12
nearestInterval_mean5,12
77,12
311,12
139,12
386,12
389,12
385,12
action9_rate,12
isOrder_1,12
55,12
110,12
113,12
302,12
49,12
42,12
276,11
277,11
109,11
334,11
333,11
239,11
138,11
491,11
370,11
88,11
243,11
183,11
timeInterval_last,11
nearestInterval_mean9,11
8,11
415,11
410,11
384,11
388,11
nearestTime9,11
nearestInterval_max4,11
nearestInterval_max9,11
9,11
356,11
359,11
215,11
262,11
479,11
298,10
292,10
273,10
278,10
437,10
337,10
143,10
136,10
135,10
12,10
365,10
168,10
58,10
480,10
473,10
440,9
446,9
331,9
6,9
408,9
393,9
392,9
nearestInterval_mean6,9
327,9
319,9
258,9
466,9
462,9
nearestInterval_max7,9
164,9
354,9
214,9
280,9
283,9
424,9
484,9
344,8
432,8
338,8
140,8
409,8
397,8
82,8
203,8
316,8
315,8
nearestInterval_var3,8
469,8
nearestInterval_max3,8
166,8
350,8
358,8
57,8
111,8
nearestInterval_min5,8
299,7
296,7
297,7
194,7
449,7
442,7
438,7
435,7
496,7
492,7
373,7
456,7
209,7
419,7
312,7
3,7
nearestTime1,7
403,7
464,7
nearestInterval_max5,7
263,7
nearestInterval_min9,7
426,7
308,7
301,7
306,7
224,7
399,7
477,7
346,6
339,6
238,6
234,6
404,6
241,6
452,6
187,6
352,6
206,6
79,6
416,6
368,6
nearestTime7,6
210,6
4,6
286,6
50,6
427,6
487,6
483,6
472,6
169,6
349,5
196,5
444,5
436,5
237,5
132,5
371,5
240,5
322,5
353,5
nearestInterval_min6,5
51,5
420,5
423,5
300,5
220,5
433,4
23,4
395,4
394,4
7,4
59,4
11,4
13,4
325,4
200,4
2,4
timeInterval_min,4
369,4
type_last1,4
411,4
action4_rate,4
nearestTime5,4
nearestDistance5,4
213,4
218,4
304,4
48,4
47,4
action3_rate,4
nearestInterval_var9,3
230,3
20,3
29,3
406,3
400,3
453,3
455,3
457,3
16,3
19,3
320,3
207,3
413,3
318,3
317,3
461,3
217,3
212,3
nearestInterval_min7,3
53,3
118,3
421,3
422,3
425,3
398,3
5,3
485,3
474,3
nearestInterval_max6,3
340,2
343,2
348,2
447,2
430,2
431,2
336,2
330,2
90,2
action2_rate,2
action7_rate,2
25,2
21,2
22,2
nearestDistance1,2
376,2
458,2
189,2
10,2
17,2
nearestInterval_mean7,2
326,2
nearestInterval_var5,2
367,2
nearestTime6,2
355,2
351,2
56,2
471,2
293,1
30,1
439,1
434,1
335,1
145,1
490,1
24,1
26,1
27,1
407,1
396,1
15,1
360,1
nearestInterval_var6,1
211,1
54,1
52,1
44,1
476,1
